Nom,Poste_Cat
András Schäfer,AG
André,CB
André Ayew,ATT
André Lacximicant,AG
André Silva,ATT
Andrés Cubas,AG
Andrés Perea,ATT
Andy Najar,MC
Andy Robertson,LB
Anel Ahmedhodžić,MDF
Anfernee Jamal Dijksteel,CB
Ange-Yoan Bonny,MC
Angel Gomes,CB
Angelo Fulgini,ATT
Angelo Stiller,MC
Anis Ben Slimane,ATT
Anis Hadj Moussa,ATT
Anis Mehmeti,AG
Anouar Ait El Hadj,AG
Anselmo Garcia McNulty,MC
Ansgar Knauff,AG
Ansu Fati,AG
Ante Budimir,ATT
Ante Crnac,ATT
Ante Šuto,AG
Antef Tsoungui,CB
Anthony Caci,AG
Anthony Dennis,CB
Anthony Descotte,AG
Anthony Elanga,AG
Anthony Gordon,ATT
Anthony Lopes,CB
Anthony Markanich,ATT
Anthony Musaba,AG
Anthony Valencia,MOF
Anthony van den Hurk,ATT
Antoine Bernede,AG
Antoine Bernier,ATT
Antoine Griezmann,ATT
Antoine Makoumbou,MC
Antoine Mendy,CB
Antoine Semenyo,ATT
Anton Kade,ATT
Anton Salétros,MOF
Anton Stach,AG
Antonee Robinson,CB
Antonino Gallo,MC
Antonio Blanco,MC
Antonio Caracciolo,MC
Antonio Nusa,AG
Antonio Rüdiger,CB
Antonio Vergara,ATT
Antony,AD
Antony Alves,ATT
António Silva,MC
Antônio Carlos,CB
Aníbal Godoy,AG
Ao Tanaka,AG
Arbnor Muja,ATT
Archie Brown,AG
Archie Goodwin,CB
Archie Gray,CB
Arda Güler,MOF
Arda Kurtulan,ATT
Arda Kızıldağ,MC
Ardian Ismajli,LB
Arijon Ibrahimović,ATT
Arkadiusz Pyrka,MOF
Armand Laurienté,ATT
Armando Broja,CB
Armel Bella-Kotchap,CB
Arnau Martínez,MOF
Arnaud Kalimuendo,ATT
Arnaud Nordin,AG
Arnaut Danjuma,AG
Arne Engels,MOF
Arno Verschueren,AG
Arnold Vula,ATT
Aron Dønnum,MOF
Arouna Sangante,CB
Arsène Kouassi,MC
Artem Dovbyk,ATT
Artem Stepanov,AG
Arthur,AG
Arthur Atta,ATT
Arthur Avom Ebong,MC
Arthur Zagre,MC
Artur,CB
Ashley Hay,AG
Ashley Phillips,CB
Ashley Westwood,MOF
Ashraf El Mahdioui,MC
Aske Adelgaard,MDF
Assan Ouédraogo,ATT
Assane Diao,AG
Atakan Karazor,MC
August Priske,ATT
Augustine Boakye,CB
Augustus Kargbo,MC
Aune Selland Heggebø,AG
Aurelio Oehlers,MC
Aurèle Amenda,CB
Aurélien Scheidler,ATT
Aurélien Tchouaméni,MDF
Axel Disasi,CB
Axel Henriksson,MOF
Axel Tuanzebe,CB
Axel Witsel,MDF
Ayase Ueda,ATT
Ayman Yahya,AG
Aymeric Laporte,CB
Ayoni Santos,AG
Ayoub Jabbari,ATT
Ayoube Amaimouni Echghouyab,ATT
Ayoze Pérez,ATT
Ayumu Seko,CB
Ayyoub Bouaddi,MDF
Azor Matusiwa,MC
Azzedine Ounahi,ATT
Aïssa Mandi,LB
Babacar Fati,AG
Bakery Jatta,AG
Bamo Meïté,CB
Baran Ali Gezek,CB
Baris Kalayci,ATT
Barry Bannan,AG
Bart Schenkeveld,CB
Bart van Rooij,MOF
Bartuğ Elmaz,MOF
Barış Alper Yılmaz,AG
Bas Kuipers,LB
Bashir Humphreys,MDF
Bastien Meupiyou,CB
Batista Mendy,CB
Bazoumana Touré,ATT
Başar Önal,ATT
Beau Leroux,ATT
Belal Halbouni,CB
Ben Brereton Díaz,MOF
Ben Broggio,ATT
Ben Cabango,CB
Ben Chilwell,CB
Ben Chrisene,MC
Ben Davies,CB
Ben Mee,CB
Ben Sheaf,MC
Ben White,RB
Ben Whiteman,MOF
Ben Wilmot,CB
Benedict Hollerbach,AG
Benedikt Gimber,CB
Beni Baningime,CB
Beni Mukendi,LB
Benjamin André,MOF
Benjamin Henrichs,AG
Benjamin Kikanović,LB
Benjamin Mbunga-Kimpioka,CB
Benjamin Nelson,CB
Benjamin Nygren,ATT
Benjamin Pavard,CB
Benjamin Stambouli,CB
Benjamin Šeško,ATT
Berat Djimsiti,LB
Berkan Kutlu,MC
Berkay Özcan,MC
Bernard Kamungo,ATT
Bernard Nguene,AG
Bernardo,MDF
Bernardo Schappo,LB
Bernardo Silva,MC
Bertrand Traoré,CB
Bertuğ Yıldırım,AG
Besard Sabović,CB
Besfort Zeneli,AG
Beto,ATT
Beñat Prados,CB
Beñat Turrientes,MDF
Biel,AG
Bilal Boutobba,ATT
Bilal El Khannouss,ATT
Bilal Nadir,MC
Bilal Ould-Chikh,AG
Billy Koumetio,MC
Billy Mitchell,LB
Birger Verstraete,MDF
Blaž Kramer,AG
Bobby Clark,ATT
Bobby De Cordova-Reid,MC
Bobby Thomas,MOF
Bode Hidalgo,MDF
Borja Iglesias,AG
Borja Mayoral,MC
Borja Sainz,ATT
Bosun Lawal,MC
Boubacar Kamara,MC
Boubacar Traoré,CB
Boulaye Dia,AG
Boy Kemper,MOF
Boyd Reith,MOF
Brad Potts,AG
Brad Spencer,MC
Bradley Barcola,AG
Bradley Lyons,AG
Brahim Díaz,MOF
Braian Ojeda,MDF
Brajan Gruda,ATT
Branco Van den Boomen,MC
Brandley Kuwas,AG
Brandon Aguilera,AG
Brandon Bye,MC
Brandon Mechele,MC
Brandon Servania,MC
Brandon Thomas-Asante,AG
Brandon Vázquez,ATT
Brandt Bronico,CB
Brayan Ceballos,CB
Brayan Medina,CB
Brayan Vera,CB
Breel Embolo,ATT
Bremer,CB
Brendan Chardonnet,CB
Brendan Hines-Ike,CB
Brendan McSorley,ATT
Brenden Aaronson,AG
Brennan Johnson,AG
Brenner,AG
Brian Brobbey,ATT
Brian De Keersmaecker,MOF
Brian White,ATT
Bright Arrey-Mbi,CB
Brodie Spencer,LB
Brooke Norton-Cuffy,MOF
Brooklyn Kabongolo,MC
Brooklyn Raines,LB
Bruce Anderson,AG
Bruno Damiani,ATT
Bruno Fernandes,MOF
Bruno Guimarães,ATT
Bruno Langa,MC
Bruno Martins Indi,CB
Bruno Quiñonez,ATT
Bryan Cristante,MC
Bryan Gil,AG
Bryan Heynen,ATT
Bryan Linssen,ATT
Bryan Mbeumo,ATT
Bryan Okoh,CB
Bryan Ramirez,MOF
Bryang Kayo,AG
Brynjólfur Darri Willumsson,AG
Budu Zivzivadze,AG
Bukayo Saka,AD
Burak Ince,AG
Bünyamin Balcı,AG
Cade Cowell,ATT
Cafú,MC
Caio Henrique,LB
Caleb Ekuban,AG
Caleb Okoli,CB
Caleb Taylor,ATT
Caleb Wiley,AG
Callum Brittain,MOF
Callum Doyle,MOF
Callum Elder,MOF
Callum Hendry,ATT
Callum Hudson Odoi,ATT
Callum Lang,AG
Callum McGregor,MC
Callum O'Hare,ATT
Callum Slattery,ATT
Callum Styles,MOF
Callum Wilson,MC
Calvin Bassey,CB
Calvin Fodrey,AG
Calvin Harris,AG
Calvin Miller,ATT
Cameron Brannagan,ATT
Cameron Burgess,CB
Cameron Carter-Vickers,CB
Cameron Congreve,ATT
Cameron Devlin,MDF
Cameron Harper,ATT
Cameron Pring,CB
Cameron Puertas,MOF
Camiel Neghli,ATT
Can Uzun,ATT
Capita,ATT
Carl Starfelt,CB
Carlens Arcus,MC
Carles Aleñá,AG
Carles Gil,ATT
Carlo Holse,ATT
Carlos Alcaraz,ATT
Carlos Augusto,CB
Carlos Baleba,AG
Carlos Espí,ATT
Carlos Forbs,ATT
Carlos Garcés,CB
Carlos Junior,ATT
Carlos Romero,MOF
Carlos Soler,MC
Carlos Vicente,AG
Carlos Álvarez,AG
Carlton Morris,ATT
Carney Chukwuemeka,AG
Casemiro,ATT
Casper De Norre,AG
Casper Højer,MC
Casper Nielsen,ATT
Casper Tengstedt,AG
Casper Widell,CB
Cassiano,AG
Castello Lukeba,MDF
Cavan Sullivan,AG
Cedric Hatenboer,MOF
Cedric Teuchert,ATT
Cedric Zesiger,MC
Celil Yüksel,MOF
Cenk Özkaçar,CB
Cesare Casadei,AG
Chahid El Allachi,ATT
Charles De Ketelaere,AG
Charles Pickel,CB
Charles Vanhoutte,MC
Charles-Andre Raux Yao,AG
Charles-Andreas Brym,ATT
Charles-Emile Brunet,MOF
Charlie Cresswell,MC
Charlie McNeill,AG
Che Adams,AG
Cheick Keita,CB
Chemsdine Talbi,AG
Cher Ndour,ATT
Cherif Ndiaye,ATT
Chibuike Nwaiwu,ATT
Chidera Ejuke,AG
Chiheb Labidi,MDF
Chiquinho,AG
Chris Führich,ATT
Chris Mepham,CB
Chris Richards,MC
Chris Smalling,CB
Chris Wood,AG
Chrislain Matsima,CB
Christ Inao Oulaï,MC
Christiaan Ravych,CB
Christian Bassogog,MOF
Christian Burgess,CB
Christian Cappis,AG
Christian Conteh,ATT
Christian Eriksen,MOF
Christian Kabasele,LB
Christian Kofane,ATT
Christian Marques,CB
Christian Ordoñez,CB
Christian Pulišić,ATT
Christian Ramirez,AG
Christoph Baumgartner,ATT
Christoph Klarer,CB
Christopher Baah,MC
Christopher Durkin,MC
Christopher Lungoyi,ATT
Christopher McVey,LB
Christopher Nkunku,AG
Christopher Scott,MOF
Christopher Trimmel,AG
Christos Tzolis,ATT
Chukwubuikem Ikwuemesi,AG
Ciaron Brown,MC
Cicero,MDF
Cihan Çanak,AG
Ciro Immobile,ATT
Clark Robertson,CB
Claudio Echeverri,AG
Clement Akpa,MDF
Clint Leemans,MC
Clinton Mata,LB
Cláudio Braga,ATT
Cláudio Winck,MC
Clément Jolibois,CB
Cody Drameh,CB
Cody Gakpo,AG
Cole Bassett,ATT
Cole Palmer,MOF
Connor Barron,MOF
Connor McLennan,AG
Connor Metcalfe,AG
Connor Ogilvie,MC
Connor Roberts,LB
Connor Ronan,AG
Conor Bradley,AG
Conor Chaplin,ATT
Conor Coventry,MC
Conor Gallagher,MC
Conor Shaughnessy,MC
Conrad Harder,ATT
Conrad Wallem,MOF
Cooper Sanchez,AG
Corentin Tolisso,MC
Couhaib Driouech,ATT
Craig Halkett,CB
Craig Watson,MDF
Cristhian Mosquera,CB
Cristhian Stuani,AG
Cristhoper Zambrano,AG
Cristian Castro,CB
Cristian Cásseres Jr.,MC
Cristian Espinoza,MOF
Cristian Montaño,AG
Cristian Roldán,MC
Cristian Romero,CB
Cristiano Ronaldo,ATT
Crysencio Summerville,ATT
Cucho Hernández,ATT
Curtis Jones,MDF
Cyle Larin,AG
Cyril Ngonge,AG
Cédric Kipré,LB
César Azpilicueta,CB
César Tárrega,CB
Daam Foulon,MDF
Daan Heymans,ATT
Daan Rots,ATT
Dael Fry,CB
Daichi Kamada,MOF
Daiki Hashioka,MC
Dailon Rocha Livramento,AG
Daizen Maeda,ATT
Daley Blind,CB
Damien Durand,CB
Damion Downs,CB
Damon Mirani,CB
Dan Agyei,ATT
Dan Burn,CB
Dan N'Lundulu,ATT
Dan Ndoye,CB
Dan Neil,AG
Dane Scarlett,AG
Danel Sinani,ATT
Dango Ouattara,ATT
Dani De Wit,ATT
Dani Olmo,MOF
Dani Pérez,CB
Dani Vivian,LB
Daniel Ballard,MC
Daniel Barlaser,MC
Daniel Bennie,ATT
Daniel Bragança,AG
Daniel Edelman,MC
Daniel Imray,MC
Daniel James,CB
Daniel Jebbison,CB
Daniel Júnior,AG
Daniel Kelly,CB
Daniel Lovitz,MC
Daniel Maldini,AG
Daniel Munie,CB
Daniel Musovski,ATT
Daniel Muñoz,MC
Daniel Pereira,MDF
Daniel Rivas,CB
Daniel Svensson,MC
Daniele Ghilardi,CB
Daniele Verde,ATT
Danilho Doekhi,MC
Danilo,ATT
Danilo Cataldi,MDF
Danilo Pereira,MC
Danilo Veiga,CB
Danley Jean Jacques,MDF
Danny Bakker,ATT
Danny Finlayson,CB
Danny Namaso,CB
Danny Welbeck,ATT
Danny Wilson,CB
Danny da Costa,LB
Dante,CB
Dante Polvara,LB
Dante Sealy,AG
Dante Vanzeir,ATT
Daouda Guindo,MC
Dara O'Shea,MC
Dario Šarić,MC
Dario Špikić,ATT
Darko Churlinov,AG
Darko Gyabi,AG
Darko Nejašmić,MOF
Darlin Yongwa,MC
Darnell Furlong,MC
Darren Yapi,AG
Darwin Núñez,ATT
Daryl Dike,ATT
Dave Kwakman,MC
David Affengruber,MDF
David Akintola,AG
David Brekalo,CB
David Brooks,AG
David Costas,CB
David Kaiki,AG
David López,LB
David Martínez Morales,MC
David Min,AG
David Neres,AD
David Okereke,MC
David Ozoh,CB
David Pereira Da Costa,AG
David Raum,MC
David Robert Bates,LB
David Sousa,MDF
David Strelec,ATT
David Tijanič,MC
David Vazquez,AG
David Watson,ATT
David van der Werff,ATT
Davide Biraschi,CB
Davide Zappacosta,MOF
Davie Selke,AG
Davinchi,MC
Davinson Sánchez,CB
Davy Klaassen,ATT
Dawid Bugaj,MC
Dayann Methalie,MDF
DeAndre Yedlin,MC
DeJuan Jones,MC
Dean Huijsen,CB
Declan Rice,MDF
Dehmaine Tabibou,ATT
Deiver Machado,AG
Dejan Joveljić,ATT
Dejan Kulusevski,AD
Delano Burgzorg,ATT
Demarai Gray,ATT
Denis Bouanga,ATT
Denis Drăguş,AG
Denis Makarov,AG
Denis Odoi,MC
Denis Radu,AG
Denis Suárez,AG
Denis Zakaria,MDF
Deniz Gül,AG
Deniz Türüç,MOF
Deniz Undav,ATT
Dennis Eckert Ayensa,AG
Dennis Geiger,AG
Dennis Praet,MOF
Denso Kasius,AG
Denzel Dumfries,RB
Derek Cornelius,LB
Derensili Sanches Fernandes,ATT
Derrick Köhn,MOF
Derry Murkin,MC
Derry Scherhant,AG
Destiny Udogie,MC
Deveron Fonville,MDF
Devin Padelford,CB
Devon Koswal,CB
Di'Shon Bernard,CB
Diadié Samassékou,CB
Diego Carlos,CB
Diego Chará,MC
Diego Coppola,CB
Diego Duarte,AG
Diego Fagúndez,AG
Diego Gómez,AG
Diego Llorente,CB
Diego Luna,ATT
Diego López,AG
Diego Moreira,MOF
Diego Rossi,ATT
Dies Janse,MC
Dimitri Foulquier,CB
Dimitrios Giannoulis,MC
Dimitris Goutas,CB
Dimitris Kourbelis,LB
Dimitris Limnios,ATT
Dinis Pinto,CB
Diogo Bezerra,ATT
Diogo Dalot,MC
Diogo Leite,MC
Diogo Sousa,AG
Diogo Travassos,MOF
Dion Sanderson,CB
Dje Tah D'Avilla,MDF
Djed Spence,CB
Djeidi Gassama,ATT
Djenairo Daniels,CB
Djibirin Harouna,AG
Djibril Diani,MDF
Djibril Sidibé,LB
Djibril Soumaré,AG
Djibril Sow,AG
Dodi Lukebakio,ATT
Dodô,MOF
Domagoj Bradarić,MOF
Domenico Berardi,AG
Domingos Duarte,CB
Dominic Calvert-Lewin,ATT
Dominic Hyam,CB
Dominic Iorfa,CB
Dominic Solanke,AG
Dominic Thompson,MC
Dominik Kohr,CB
Dominik Szoboszlai,MOF
Donny van de Beek,ATT
Donyell Malen,ATT
Dor Turgeman,ATT
Dorgeles Nene,AG
Douglas Luiz,MC
Doğukan Sinik,ATT
Drey Wright,MC
Dries Wouters,CB
Drissa Camara,ATT
Duje Ćaleta-Car,CB
Duncan McGuire,ATT
Duran Ferree,CB
Duván Zapata,AG
Dušan Vlahović,ATT
Dwight Gayle,CB
Dwight McNeil,AG
Dylan Chambost,AG
Dylan Nandín,AG
Dylan Nealis,LB
Dylan Tait,AG
Dylan Vente,ATT
Dániel Sallói,ATT
Dávid Hancko,CB
Désiré Doué,ATT
Dženan Pejčinović,ATT
Eberechi Eze,ATT
Ebou Adams,ATT
Edan Diop,ATT
Eddie Nketiah,ATT
Eddy Doué,CB
Edgaras Utkus,CB
Edmond Tapsoba,CB
Edo Kayembe,ATT
Edoardo Bove,MDF
Edson Álvarez,MC
Edu Altozano,CB
Edu Expósito,AG
Eduard Atuesta,AG
Eduard Löwen,ATT
Eduardo Camavinga,MC
Edvard Tagseth,MDF
Edwin Cerrillo,LB
Efraín Morales,CB
Eiran Cashin,MC
El Bilal Touré,ATT
El Hadji Malick Diouf,MC
Eldor Shomurodov,ATT
Eli Dasa,MC
Eli Junior Kroupi,ATT
Elias Mokwana,AG
Elijah Dijkstra,AG
Elijah Just,ATT
Elijah Wynder,CB
Elisha Owusu,CB
Eljif Elmas,LB
Elliot Anderson,MOF
Elliot Watt,MC
Ellis Simms,AG
Elvis Rexhbeçaj,MC
Elye Wahi,ATT
Elías Báez,MC
Emanuel Poku,ATT
Emanuele Valeri,MC
Emeka Eneli,AG
Emerson,MOF
Emersonn,AG
Emil Forsberg,ATT
Emil Hansson,AG
Emil Riis Jacobsen,AG
Emile Smith Rowe,AG
Emiliano Buendía,ATT
Emilio Aristizábal,ATT
Emmanuel Agbadou,CB
Emmanuel Agyei,MC
Emmanuel Emegha,AG
Emmanuel Kakou,MC
Emmanuel Latte Lath,AG
Emmanuel Longelo,ATT
Emmanuel Maviram,MDF
Emmanuel Sabbi,ATT
Emmanuel van de Blaak,CB
Emre Akbaba,ATT
Emre Can,MDF
Emre Kılınç,ATT
Ender Echenique,AG
Endrick,ATT
Enea Mihaj,CB
Enes Keskin,AG
Enes Sali,AG
Enes Ünal,ATT
Enis Bardhi,ATT
Enrico Delprato,CB
Enzo Boyomo,CB
Enzo Cornelisse,AG
Enzo Fernández,MC
Enzo Koffi,AG
Enzo Le Fée,MC
Enzo Millot,ATT
Ephron Mason-Clark,ATT
Eray Cömert,MC
Eren Dinkçi,ATT
Eric Bocat,MOF
Eric Ebimbe,AG
Eric García,CB
Eric Martel,ATT
Eric Smith,MC
Erik Ahlstrand,AG
Erik Sviatchenko,CB
Erik Thommy,ATT
Erling Haaland,ATT
Ermedin Demirović,ATT
Ernest Muçi,ATT
Ernest Nuamah,ATT
Esmir Bajraktarević,AG
Espen Van Ee,CB
Esteban Lepaul,ATT
Estêvão,CB
Ethan Ampadu,MC
Ethan Brown,MC
Ethan Galbraith,AG
Ethan Hamilton,MC
Ethan Laird,AG
Ethan Mbappé,AG
Ethan Ross,AG
Ethan Williams,ATT
Etienne Camara,MDF
Etta Eyong,CB
Evan Ferguson,ATT
Evan Ndicka,MC
Evander,ATT
Evanilson,ATT
Evann Guessand,AG
Ewoud Pletinckx,CB
Exequiel Palacios,MC
Eythor Bjørgolfsson,ATT
Ezekiel Alladoh,MOF
Ezequiel Fernández,AG
Ezequiel Ponce,ATT
Ezri Konsa,CB
Fabian Herbers,AG
Fabian Rieder,MC
Fabian Schär,ATT
Fabiano Parisi,MOF
Fabiano Souza,CB
Fabien Centonze,MC
Fabinho,MC
Fabio Miretti,AG
Fabián Ruiz,AG
Facundo Cáseres,MDF
Facundo Medina,LB
Facundo Mura,MC
Facundo Torres,ATT
Fahad Zubaidi,ATT
Fali Candé,CB
Fallou Fall,LB
Faris Abdi,LB
Farouck Adekami,AG
Farès Chaïbi,ATT
Fashion Sakala,ATT
Federico Baschirotto,CB
Federico Bernardeschi,AG
Federico Bonazzoli,ATT
Federico Dimarco,MOF
Federico Valverde,MC
Federico Viñas,ATT
Fedor Chalov,ATT
Felipe Andrade,CB
Felipe Augusto,ATT
Felippe Cardoso,ATT
Felix Bacher,CB
Felix Nmecha,MC
Felix Passlack,ATT
Femi Azeez,ATT
Femi Seriki,AG
Fer López,ATT
Ferdi Kadıoğlu,MC
Fermín López,ATT
Fernando Calero,CB
Ferran Jutglà,AG
Ferran Torres,AG
Ferro,LB
Fidan Aliti,MC
Figueiredo,ATT
Fikayo Tomori,CB
Filip Ugrinić,AG
Filipe Soares,AG
Filippo Terracciano,CB
Findlay Curtis,ATT
Findlay Marshall,ATT
Finlay Pollock,AG
Finn Azaz,ATT
Finn Dahmen,CB
Finn Surman,CB
Firas Al-Buraikan,AG
Fisayo Dele-Bashiru,LB
Fisnik Asllani,ATT
Florent Hadergjonaj,MOF
Florentino Luís,MDF
Florian Grillitsch,MDF
Florian Lejeune,ATT
Florian Sotoca,AG
Florian Tardieu,CB
Florian Thauvin,ATT
Florian Wirtz,MOF
Flynn Downes,MC
Flávio,MDF
Flávio Nazinho,MC
Folarin Balogun,ATT
Forson Amankwah,AG
Fotis Ioannidis,ATT
Fousseni Diabaté,MC
Fran Beltrán,AG
Fran Navarro,AG
Fran Pérez,AG
Francesco Camarda,AG
Francesco Pio Esposito,MC
Francis Coquelin,CB
Francisco Calvo,MC
Francisco Chissumba,MDF
Francisco Conceição,ATT
Francisco Trincão,ATT
Franck Honorat,MOF
Franck Kessié,MC
Franco Tongya,ATT
Frank Anguissa,ATT
Frank Magri,AG
Frank Onyeka,ATT
Frankie Westfield,MC
Fredrik Aursnes,MOF
Frenkie de Jong,MC
Frimpong,CB
Frédéric Guilbert,MDF
Furkan Soyalp,AG
Fábio Martins,AG
Fábio Silva,AG
Fábio Vieira,ATT
Félix Correia,AG
Gabri Veiga,AG
Gabriel Carvalho,AG
Gabriel Gudmundsson,CB
Gabriel Magalhães,CB
Gabriel Martinelli,AG
Gabriel Martínez,AG
