Nom,Poste_Cat,Matchs,xG,xA,KP,Drb,Dist,Def
Lameck Banda,ATT,14,0.07,0.063,1.3399999999999999,2.225,7074.0,3.35
Lamine Cissé,ATT,10,0.15000000000000002,0.04,1.0,1.8649999999999998,8802.0,2.215
Lance Duijvestijn,ATT,13,0.212,0.073,1.22,1.72,9180.0,6.25
Largie Ramazani,ATT,9,0.52,0.081,1.0,1.66,9612.0,3.03
Lassana Coulibaly,ATT,14,0.065,0.02,0.5,1.65,9720.0,5.0
Lassine Sinayoko,ATT,14,0.245,0.05,0.5,1.635,9720.0,3.645
Lautaro Martínez,ATT,10,0.2705,0.0495,1.765,2.205,7398.0,3.455
Leandro Antunes,ATT,14,0.28,0.03,1.135,1.75,9558.0,2.2
Leon Goretzka,ATT,9,0.07,0.06,1.0,1.7,9720.0,4.82
Lewis Dobbin,ATT,14,0.174,0.0315,1.0950000000000002,1.8,8856.0,3.585
Liam Delap,ATT,6,0.145,0.0,1.56,2.49,7020.0,2.59
Liam Millar,ATT,12,0.079,0.0455,1.835,2.06,7884.0,3.885
Linton Maina,ATT,11,0.12,0.06,1.34,2.53,6372.0,5.03
Lorenzo Pellegrini,ATT,14,0.149,0.20700000000000002,2.7350000000000003,2.15,7236.0,4.25
Louis Leroux,ATT,10,0.0615,0.025,1.24,2.255,7020.0,2.835
Louis Patris,ATT,5,0.11,0.03,1.0,2.19,7128.0,5.0
Luca Koleosho,ATT,10,0.0945,0.056499999999999995,1.65,4.6899999999999995,3165.23,5.91
Lucas Beltrán,ATT,12,0.07350000000000001,0.031,1.105,1.94,8046.0,3.05
Lucas Boyé,ATT,11,0.67,0.02,0.0,1.67,9720.0,3.0
Lucas Schoofs,ATT,14,0.16,0.166,1.0,1.67,9720.0,5.89
Luciano Rodríguez,ATT,14,0.273,0.023,0.0,1.685,9558.0,2.165
Luciano Valente,ATT,12,0.08499999999999999,0.07550000000000001,0.0,1.64,9720.0,9.0
Ludovic Ajorque,ATT,14,0.1305,0.04,1.0,1.6549999999999998,9720.0,3.0
Ludovic Blas,ATT,12,0.127,0.1755,2.9050000000000002,4.38,3564.0,5.075
Luka Kulenović,ATT,10,0.16,0.02,1.0,1.645,9720.0,2.0
Luka Vušković,ATT,13,0.13,0.02,0.0,1.66,9720.0,5.49
Luke Ayling,ATT,14,0.055,0.09,0.5,1.68,9720.0,7.295
Luke Thomas,ATT,14,0.07,0.04,1.0,1.645,9720.0,4.0
Lázaro,ATT,13,0.15,0.04,1.0,1.65,9720.0,3.0
Mahamadou Doumbia,ATT,13,0.06,0.103,1.0,1.67,9720.0,5.0
Mahdi Camara,ATT,14,0.10300000000000001,0.03,0.5,1.625,9720.0,4.045
Maksim Paskotsi,ATT,13,0.097,0.01,0.0,1.72,9720.0,3.84
Malcom,ATT,14,0.14150000000000001,0.1625,2.3899999999999997,1.67,9612.0,3.55
Malick Fofana,ATT,10,0.073,0.11900000000000001,1.275,1.775,8748.0,2.02
Mamadou Doumbia,ATT,9,0.257,0.012,1.18,2.35,6804.0,2.54
Mamadou Sylla,ATT,11,0.26,0.01,0.0,1.71,9180.0,2.0
Manor Solomon,ATT,10,0.0745,0.038500000000000006,1.635,1.905,8694.0,3.125
Marco Grüll,ATT,11,0.1,0.034,1.48,2.34,6588.0,2.25
Marcus Rashford,ATT,9,0.18,0.18,2.9,5.02,3240.0,4.09
Marcus Tavernier,ATT,13,0.2,0.071,1.27,1.65,9720.0,6.34
Marcus Thuram,ATT,14,0.2605,0.023,0.0,2.06,7830.0,1.7650000000000001
Marin Petkov,ATT,13,0.157,0.135,1.66,2.0,8091.69,4.71
Marius Bülter,ATT,9,0.109,0.054,1.36,2.21,7128.0,2.31
Mark Harris,ATT,2,0.1955,0.0,1.955,4.955,3726.0,0.98
Marshall Munetsi,ATT,11,0.22,0.01,0.0,1.7,9612.0,3.03
Martin Terrier,ATT,7,0.077,0.028,1.1,2.34,7020.0,2.4
Martín Satriano,ATT,14,0.1,0.03,1.0,1.64,9720.0,2.51
Mason Greenwood,ATT,13,0.17,0.142,2.02,1.71,9720.0,3.0
Mason Mount,ATT,6,0.0905,0.109,1.5,1.98,8316.0,6.0
Mateo Pellegrino,ATT,14,0.145,0.01,0.0,1.65,9720.0,2.0
Mateo Retegui,ATT,14,0.46699999999999997,0.035,0.5,1.7,9720.0,2.025
Mateus Mané,ATT,14,0.0675,0.041499999999999995,1.0350000000000001,1.665,9720.0,4.2
Matheus Cunha,ATT,13,0.077,0.043,1.1,1.8,8856.0,4.74
Mathieu Maertens,ATT,4,0.0905,0.1015,1.24,3.9349999999999996,4914.0,4.8999999999999995
Mathis Suray,ATT,13,0.099,0.034,1.0,1.73,9072.0,3.38
Mathys Tel,ATT,11,0.084,0.141,3.1,2.66,5940.0,4.03
Matija Frigan,ATT,12,0.517,0.10500000000000001,0.84,1.7650000000000001,9180.0,1.79
Mats Wieffer,ATT,13,0.12,0.03,1.0,1.66,9720.0,6.0
Matthieu Udol,ATT,14,0.07050000000000001,0.16,2.0,1.645,9720.0,4.5
Matthis Abline,ATT,13,0.07,0.12,1.0,1.7,9720.0,2.47
Matías Fernández,ATT,14,0.132,0.047,1.005,1.68,9720.0,2.125
Matías Fernández-Pardo,ATT,14,0.176,0.047,1.005,1.705,9666.0,2.125
Matías Vargas,ATT,14,0.085,0.195,2.0,1.67,9720.0,4.0
Mauricio Benitez,ATT,11,0.101,0.03,0.98,1.67,9720.0,8.0
Mauro Arambarri,ATT,14,0.08049999999999999,0.01,0.0,1.645,9720.0,4.325
Max Dean,ATT,13,0.319,0.023,1.0,1.79,8856.0,4.0
Maxence Rivera,ATT,13,0.11,0.04,1.34,1.79,8640.0,4.03
Maximilian Beier,ATT,14,0.293,0.17099999999999999,1.005,1.95,7938.0,2.0949999999999998
Maximilian Eggestein,ATT,14,0.055,0.03,0.0,1.63,9720.0,4.0
Mees De Wit,ATT,11,0.1,0.04,1.0,1.65,9720.0,3.0
Merih Demiral,ATT,12,0.0905,0.01,0.0,1.66,9720.0,2.59
Michael Folorunsho,ATT,13,0.062,0.02,0.0,1.67,9612.0,3.0
Michael Keane,ATT,9,0.07,0.0,0.0,1.66,9720.0,4.0
Michael Olise,ATT,13,0.2,0.313,2.65,1.72,9612.0,4.0
Michał Helik,ATT,12,0.09,0.03,0.5,1.63,9720.0,3.5
Michel Adopo,ATT,14,0.08,0.03,0.0,1.64,9720.0,6.08
Mihailo Ivanović,ATT,10,0.3315,0.082,1.0,2.65,6372.0,3.0
Mika Biereth,ATT,2,0.2515,0.331,3.97,3.25,5778.0,3.175
Mika Godts,ATT,14,0.227,0.11499999999999999,2.535,1.72,9720.0,4.745
Mikel Oyarzabal,ATT,12,0.015,0.026,1.0,1.72,9342.0,2.825
Million Manhoef,ATT,11,0.061,0.031,1.0,2.21,7020.0,4.66
Mitchell Van Bergen,ATT,13,0.06,0.115,1.0,1.67,9720.0,3.0
Mohamed Ali Cho,ATT,14,0.12,0.04,1.06,2.0700000000000003,7614.0,4.0
Mohamed Belloumi,ATT,10,0.22949999999999998,0.1135,1.3399999999999999,2.1100000000000003,7614.0,6.05
Mohamed Ihattaren,ATT,14,0.1005,0.08,1.145,2.0599999999999996,7992.0,4.015
Mohamed Nassoh,ATT,10,0.07,0.20950000000000002,2.865,1.9949999999999999,8100.0,6.965
