STATISTIQUES          ,2026-04-25 (Arsenal vs Newcastle United),2026-04-19 (Manchester City vs Arsenal),2026-04-15 (Arsenal vs Sporting CP)  ,2026-04-11 (Arsenal vs Bournemouth),2026-04-07 (Sporting CP vs Arsenal)  ,2026-04-04 (Southampton vs Arsenal),2026-03-27 (Spain vs Serbia),2026-03-22 (Arsenal vs Manchester City),2026-03-17 (Arsenal vs Bayer 04 Leverkusen),2026-03-14 (Arsenal vs Everton),2026-03-11 (Bayer 04 Leverkusen vs Arsenal),2026-03-04 (Brighton & Hove Albion vs Arsenal),2026-03-01 (Arsenal vs Chelsea),2026-02-22 (Tottenham Hotspur vs Arsenal),2026-02-18 (Wolverhampton vs Arsenal),Minutes_Played,Touches,Ball_Recovery,Successful_Dribbles,Interceptions,Tackles,distanceRun,sprints,kpi_work_rate,kpi_explosivity
dribbleSuccessPct     ,50.0                                    ,0.0                                    ,0.0                                  ,0.0                                ,100.0                                ,0.0                                ,0.0                         ,0.0                                    ,0.0                                        ,100.0                          ,0.0                                        ,100.0                                         ,0.0                            ,0.0                                      ,0.0                                  ,0,0,0,0,0,0,,,0.0,0.0
tackle                ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                           ,0                                      ,0                                          ,0                              ,0                                          ,0                                             ,0                              ,0                                        ,0                                    ,0,0,0,0,0,0,,,0.0,0.0
interceptionWon       ,2                                       ,2                                      ,1                                    ,1                                  ,1                                    ,0                                  ,0                           ,0                                      ,2                                          ,1                              ,1                                          ,1                                             ,0                              ,0                                        ,1                                    ,0,0,0,0,0,0,,,0.0,0.0
clearance             ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                           ,0                                      ,0                                          ,0                              ,0                                          ,0                                             ,0                              ,0                                        ,0                                    ,0,0,0,0,0,0,,,0.0,0.0
ballRecovery          ,6                                       ,2                                      ,6                                    ,3                                  ,2                                    ,1                                  ,0                           ,2                                      ,2                                          ,2                              ,3                                          ,2                                             ,2                              ,3                                        ,4                                    ,0,0,0,0,0,0,,,0.0,0.0
groundDuelWon         ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                           ,0                                      ,0                                          ,0                              ,0                                          ,0                                             ,0                              ,0                                        ,0                                    ,0,0,0,0,0,0,,,0.0,0.0
groundDuelPct         ,0.0                                     ,0.0                                    ,0.0                                  ,0.0                                ,0.0                                  ,0.0                                ,0.0                         ,0.0                                    ,0.0                                        ,0.0                            ,0.0                                        ,0.0                                           ,0.0                            ,0.0                                      ,0.0                                  ,0,0,0,0,0,0,,,0.0,0.0
aerialDuelWon         ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                           ,0                                      ,0                                          ,0                              ,0                                          ,0                                             ,0                              ,0                                        ,0                                    ,0,0,0,0,0,0,,,0.0,0.0
aerialDuelPct         ,0.0                                     ,0.0                                    ,0.0                                  ,0.0                                ,0.0                                  ,0.0                                ,0.0                         ,0.0                                    ,0.0                                        ,0.0                            ,0.0                                        ,0.0                                           ,0.0                            ,0.0                                      ,0.0                                  ,0,0,0,0,0,0,,,0.0,0.0
totalDuelsWon         ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                           ,0                                      ,0                                          ,0                              ,0                                          ,0                                             ,0                              ,0                                        ,0                                    ,0,0,0,0,0,0,,,0.0,0.0
totalDuelsPct         ,0.0                                     ,0.0                                    ,0.0                                  ,0.0                                ,0.0                                  ,0.0                                ,0.0                         ,0.0                                    ,0.0                                        ,0.0                            ,0.0                                        ,0.0                                           ,0.0                            ,0.0                                      ,0.0                                  ,0,0,0,0,0,0,,,0.0,0.0
touches               ,66                                      ,41                                     ,68                                   ,54                                 ,68                                   ,16                                 ,14                          ,41                                     ,48                                         ,68                             ,74                                         ,37                                            ,33                             ,67                                       ,72                                   ,0,0,0,0,0,0,,,0.0,0.0
possessionLost        ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                           ,0                                      ,0                                          ,0                              ,0                                          ,0                                             ,0                              ,0                                        ,0                                    ,0,0,0,0,0,0,,,0.0,0.0
dispossessed          ,0                                       ,0                                      ,0                                    ,1                                  ,2                                    ,0                                  ,0                           ,0                                      ,0                                          ,0                              ,0                                          ,2                                             ,0                              ,0                                        ,0                                    ,0,0,0,0,0,0,,,0.0,0.0
fouls                 ,1                                       ,1                                      ,0                                    ,1                                  ,0                                    ,0                                  ,0                           ,1                                      ,1                                          ,0                              ,2                                          ,1                                             ,1                              ,0                                        ,2                                    ,0,0,0,0,0,0,,,0.0,0.0
wasFouled             ,0                                       ,1                                      ,1                                    ,2                                  ,0                                    ,0                                  ,0                           ,0                                      ,0                                          ,0                              ,1                                          ,0                                             ,0                              ,1                                        ,2                                    ,0,0,0,0,0,0,,,0.0,0.0
yellowCards           ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                           ,0                                      ,0                                          ,0                              ,0                                          ,0                                             ,0                              ,0                                        ,0                                    ,0,0,0,0,0,0,,,0.0,0.0
redCards              ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                           ,0                                      ,0                                          ,0                              ,0                                          ,0                                             ,0                              ,0                                        ,0                                    ,0,0,0,0,0,0,,,0.0,0.0
