STATISTIQUES          ,2026-04-25 (Arsenal vs Newcastle United),2026-04-19 (Manchester City vs Arsenal),2026-04-15 (Arsenal vs Sporting CP)  ,2026-04-11 (Arsenal vs Bournemouth),2026-04-07 (Sporting CP vs Arsenal)  ,2026-04-04 (Southampton vs Arsenal),2026-03-31 (Sweden vs Poland),2026-03-26 (Ukraine vs Sweden),2026-03-22 (Arsenal vs Manchester City),2026-03-17 (Arsenal vs Bayer 04 Leverkusen),2026-03-14 (Arsenal vs Everton),2026-03-11 (Bayer 04 Leverkusen vs Arsenal),2026-03-07 (Mansfield Town vs Arsenal),2026-03-04 (Brighton & Hove Albion vs Arsenal),2026-03-01 (Arsenal vs Chelsea),Minutes_Played,Touches,Ball_Recovery,Successful_Dribbles,Interceptions,Tackles,distanceRun,sprints,kpi_work_rate,kpi_explosivity
accurateLongBalls     ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,1                                  ,1                            ,1                             ,0                                      ,0                                          ,0                              ,0                                          ,0                                     ,0                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
totalLongBalls        ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,1                                  ,2                            ,3                             ,0                                      ,2                                          ,0                              ,0                                          ,0                                     ,0                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
totalShot             ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                            ,0                             ,0                                      ,0                                          ,0                              ,0                                          ,0                                     ,0                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
onTargetScoringAttempt,0                                       ,0                                      ,0                                    ,1                                  ,1                                    ,1                                  ,1                            ,3                             ,0                                      ,1                                          ,1                              ,0                                          ,0                                     ,0                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
shotOffTarget         ,0                                       ,0                                      ,1                                    ,2                                  ,0                                    ,0                                  ,0                            ,0                             ,0                                      ,0                                          ,0                              ,0                                          ,0                                     ,0                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
blockedScoringAttempt ,1                                       ,0                                      ,1                                    ,1                                  ,1                                    ,1                                  ,0                            ,0                             ,0                                      ,1                                          ,0                              ,0                                          ,0                                     ,0                                             ,1                              ,0,0,0,0,0,0,,,0.0,0.0
wonContest            ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,1                            ,1                             ,2                                      ,1                                          ,0                              ,0                                          ,0                                     ,0                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
totalContest          ,0                                       ,0                                      ,0                                    ,2                                  ,0                                    ,0                                  ,1                            ,2                             ,4                                      ,2                                          ,0                              ,0                                          ,0                                     ,1                                             ,3                              ,0,0,0,0,0,0,,,0.0,0.0
dribbleSuccessPct     ,0.0                                     ,0.0                                    ,0.0                                  ,0.0                                ,0.0                                  ,0.0                                ,100.0                        ,50.0                          ,50.0                                   ,50.0                                       ,0.0                            ,0.0                                        ,0.0                                   ,0.0                                           ,0.0                            ,0,0,0,0,0,0,,,0.0,0.0
tackle                ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                            ,0                             ,0                                      ,0                                          ,0                              ,0                                          ,0                                     ,0                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
interceptionWon       ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                            ,1                             ,0                                      ,0                                          ,0                              ,1                                          ,0                                     ,0                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
clearance             ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                            ,0                             ,0                                      ,0                                          ,0                              ,0                                          ,0                                     ,0                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
ballRecovery          ,0                                       ,0                                      ,1                                    ,0                                  ,1                                    ,1                                  ,3                            ,3                             ,2                                      ,2                                          ,0                              ,0                                          ,0                                     ,4                                             ,4                              ,0,0,0,0,0,0,,,0.0,0.0
groundDuelWon         ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                            ,0                             ,0                                      ,0                                          ,0                              ,0                                          ,0                                     ,0                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
groundDuelPct         ,0.0                                     ,0.0                                    ,0.0                                  ,0.0                                ,0.0                                  ,0.0                                ,0.0                          ,0.0                           ,0.0                                    ,0.0                                        ,0.0                            ,0.0                                        ,0.0                                   ,0.0                                           ,0.0                            ,0,0,0,0,0,0,,,0.0,0.0
aerialDuelWon         ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                            ,0                             ,0                                      ,0                                          ,0                              ,0                                          ,0                                     ,0                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
aerialDuelPct         ,0.0                                     ,0.0                                    ,0.0                                  ,0.0                                ,0.0                                  ,0.0                                ,0.0                          ,0.0                           ,0.0                                    ,0.0                                        ,0.0                            ,0.0                                        ,0.0                                   ,0.0                                           ,0.0                            ,0,0,0,0,0,0,,,0.0,0.0
totalDuelsWon         ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                            ,0                             ,0                                      ,0                                          ,0                              ,0                                          ,0                                     ,0                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
totalDuelsPct         ,0.0                                     ,0.0                                    ,0.0                                  ,0.0                                ,0.0                                  ,0.0                                ,0.0                          ,0.0                           ,0.0                                    ,0.0                                        ,0.0                            ,0.0                                        ,0.0                                   ,0.0                                           ,0.0                            ,0,0,0,0,0,0,,,0.0,0.0
touches               ,17                                      ,0                                      ,14                                   ,26                                 ,18                                   ,8                                  ,23                           ,32                            ,18                                     ,34                                         ,12                             ,21                                         ,0                                     ,20                                            ,27                             ,0,0,0,0,0,0,,,0.0,0.0
possessionLost        ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                            ,0                             ,0                                      ,0                                          ,0                              ,0                                          ,0                                     ,0                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
dispossessed          ,0                                       ,0                                      ,0                                    ,0                                  ,3                                    ,0                                  ,0                            ,2                             ,1                                      ,1                                          ,0                              ,1                                          ,0                                     ,2                                             ,1                              ,0,0,0,0,0,0,,,0.0,0.0
fouls                 ,2                                       ,0                                      ,0                                    ,2                                  ,1                                    ,0                                  ,1                            ,0                             ,1                                      ,1                                          ,0                              ,1                                          ,0                                     ,3                                             ,1                              ,0,0,0,0,0,0,,,0.0,0.0
wasFouled             ,2                                       ,0                                      ,0                                    ,2                                  ,2                                    ,0                                  ,2                            ,1                             ,1                                      ,1                                          ,1                              ,2                                          ,0                                     ,0                                             ,1                              ,0,0,0,0,0,0,,,0.0,0.0
yellowCards           ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                            ,0                             ,0                                      ,0                                          ,0                              ,0                                          ,0                                     ,0                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
redCards              ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                            ,0                             ,0                                      ,0                                          ,0                              ,0                                          ,0                                     ,0                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
